x1	y1
0.675963	-5.189188
1.453714	-5.038694
2.177448	-4.782470
2.826326	-4.442603
3.307531	-4.109167
3.721767	-3.751726
4.069499	-3.386538
4.354269	-3.028340
4.639938	-2.594456
4.845877	-2.215789
4.988386	-1.908468
5.081791	-1.683135
5.134281	-1.554239
5.161489	-1.501464
5.165805	-1.525889
5.146370	-1.627110
5.099064	-1.803156
5.016491	-2.050611
4.889111	-2.363462
4.705618	-2.732587
4.454245	-3.144802
4.123269	-3.584072
3.704425	-4.030256
3.193970	-4.459550
2.593593	-4.846236
1.912774	-5.164702
1.167859	-5.393144
0.381888	-5.515858
-0.461418	-5.521519
-1.286158	-5.401625
-2.062014	-5.167692
-2.764881	-4.841250
-3.282305	-4.518759
-3.732658	-4.168019
-4.115173	-3.805703
-4.432370	-3.447240
-4.754792	-3.010635
-4.991451	-2.627300
-5.157966	-2.315201
-5.268365	-2.086499
-5.342418	-1.933499
-5.365588	-1.913125
-5.339524	-2.026443
-5.257118	-2.269230
-5.139588	-2.551540
-4.963691	-2.902479
-4.716934	-3.309379
-4.386941	-3.754758
-3.893962	-4.283130
-3.269353	-4.793005
-2.516438	-5.242543
-1.653845	-5.590302
-0.985120	-5.756334
-0.291833	-5.842902
0.408861	-5.845855
1.099412	-5.766217
1.762829	-5.609663
2.384581	-5.386023
2.953363	-5.108010
3.461665	-4.790450
3.959969	-4.402636
4.375655	-4.006759
4.712890	-3.623068
4.978763	-3.268785
5.234803	-2.871572
5.404873	-2.571877
5.506118	-2.384980
5.550026	-2.319050
5.532081	-2.407572
5.424566	-2.680778
5.204632	-3.121075
4.838878	-3.694414
4.455630	-4.169566
3.961222	-4.659801
3.350756	-5.132981
2.628694	-5.553809
1.809150	-5.887521
0.918139	-6.104914
-0.011215	-6.187120
-0.940726	-6.129198
-1.766625	-5.957608
-2.533426	-5.688758
-3.221612	-5.344668
-3.819371	-4.951671
-4.295253	-4.562228
-4.688938	-4.175674
-5.005817	-3.811192
-5.253451	-3.484706
-5.490371	-3.131652
-5.640897	-2.888370
-5.719286	-2.768028
-5.733340	-2.776499
-5.681551	-2.918228
-5.553277	-3.188926
-5.333258	-3.574690
-5.001944	-4.052577
-4.602625	-4.522579
-4.089842	-5.009828
-3.459191	-5.481728
-2.715499	-5.902675
-1.873145	-6.237648
-0.958345	-6.457216
-0.004398	-6.542303
0.950342	-6.487698
1.811343	-6.316263
2.611287	-6.045231
3.329563	-5.697643
3.953582	-5.301119
4.448572	-4.911087
4.858121	-4.526172
5.187510	-4.166324
5.444172	-3.848072
5.688572	-3.510582
5.838232	-3.292091
5.906104	-3.205827
5.898156	-3.256706
5.817144	-3.432979
5.653805	-3.726267
5.393970	-4.121101
5.021004	-4.593722
4.561863	-5.071493
3.983187	-5.556440
3.284058	-6.013825
2.473765	-6.407320
1.571579	-6.702740
0.608165	-6.873619
-0.380092	-6.905176
-1.353673	-6.797510
-2.168718	-6.597469
-2.921186	-6.316018
-3.595548	-5.974292
-4.182715	-5.596178
-4.693874	-5.194150
-5.111715	-4.804700
-5.442497	-4.449669
-5.694459	-4.146747
-5.921857	-3.849815
-6.046291	-3.687757
-6.077787	-3.671684
-6.018382	-3.803080
-5.948525	-3.929464
-5.849418	-4.092798
-5.718578	-4.290170
-5.553211	-4.517833
